Kaggle_ID,Date,Hour,Temperature,Humidity,Wind speed,Visibility,Dew point temperature,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Record_id,Demand_Category,Month
21,25/06/2018,22,27.4,55.0,0.3,1001,17.5,0.0,0.0,0.0,Summer,No Holiday,Yes,11274078,2,6
22,7/1/2018,11,0.5,35.0,1.4,1558,-13.2,0.75,0.0,0.0,Winter,No Holiday,Yes,1474565,1,1
23,17/02/2018,8,-7.1,30.0,1.7,1991,-21.7,0.04,0.0,0.0,Winter,Holiday,Yes,676937,0,2
25,3/4/2018,23,15.0,94.0,1.6,163,14.0,0.0,0.0,0.0,Spring,No Holiday,Yes,3104694,1,4
27,12/2/2018,23,,,4.3,2059,-8.5,0.0,1.6,0.0,Winter,Holiday,No,8491368,2,2
28,12/4/2018,7,7.6,54.0,1.7,1690,-1.1,0.13,0.0,0.0,Spring,No Holiday,Yes,5499687,1,4
29,7/7/2018,5,19.8,63.0,1.4,2000,12.5,0.0,0.0,0.0,Summer,No Holiday,Yes,1590004,1,7
30,20/10/2018,7,7.0,82.0,0.5,867,4.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,2499985,1,10
31,9/8/2018,1,28.8,75.0,2.1,1975,23.9,0.0,0.0,0.0,Summer,No Holiday,Yes,4683794,1,8
32,19/07/2018,16,33.7,43.0,2.7,1890,19.3,2.55,0.0,0.0,Summer,No Holiday,Yes,6102944,1,7
34,24/07/2018,10,32.4,54.0,0.9,1631,21.8,1.45,0.0,0.0,Summer,No Holiday,Yes,3369083,1,7
35,13/03/2018,15,18.6,47.0,3.3,1560,7.0,2.08,0.0,0.0,Spring,No Holiday,Yes,4635312,1,3
36,11/12/2017,9,-5.9,36.0,5.1,1941,-18.6,0.1,0.0,0.0,Winter,No Holiday,Yes,2378400,1,12
37,4/6/2018,22,22.0,64.0,1.8,1211,14.8,0.0,,0.0,Summer,No Holiday,Yes,10485049,2,6
38,4/10/2018,4,13.3,75.0,0.4,1792,8.9,0.0,0.0,0.0,Autumn,No Holiday,No,661513,0,10
39,23/09/2018,22,18.5,40.0,2.5,2000,4.6,0.0,0.0,0.0,Autumn,Holiday,Yes,6020580,1,9
40,10/1/2018,18,-7.8,32.0,4.5,2000,-21.6,0.02,0.0,0.0,Winter,No Holiday,Yes,2514355,1,1
41,9/8/2018,6,27.7,84.0,1.4,1436,24.7,0.0,0.0,0.0,Summer,No Holiday,Yes,3732905,1,8
42,14/02/2018,18,5.1,34.0,2.3,1440,-9.5,0.09,0.0,0.0,Winter,No Holiday,Yes,3466152,1,2
44,4/5/2018,21,13.3,47.0,1.9,1805,2.2,0.0,0.0,0.0,Spring,No Holiday,Yes,7479212,2,5
46,4/2/2018,4,-11.2,47.0,2.3,2000,-20.3,0.0,0.0,0.0,Winter,No Holiday,Yes,1131839,0,2
47,4/6/2018,10,25.1,40.0,2.7,1076,10.5,2.37,0.0,0.0,Summer,No Holiday,Yes,5467178,1,6
48,26/12/2017,4,-2.6,72.0,1.4,1929,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,513651,0,12
49,21/09/2018,20,20.0,82.0,0.4,2000,16.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,8383888,2,9
50,19/03/2018,15,9.8,57.0,3.0,2000,1.6,0.43,0.0,0.0,Spring,No Holiday,Yes,2217460,1,3
51,22/03/2018,11,6.9,46.0,2.1,1541,-3.9,2.33,0.0,0.0,Spring,No Holiday,Yes,3352854,1,3
52,29/10/2018,2,4.7,81.0,1.0,1918,1.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1934096,0,10
53,16/10/2018,23,12.9,78.0,0.6,1201,9.1,0.0,,0.0,Autumn,No Holiday,Yes,5510192,1,10
54,30/09/2018,20,16.0,39.0,2.9,2000,2.0,,0.0,0.0,Autumn,No Holiday,No,452762,0,9
55,11/12/2017,14,-5.4,31.0,4.1,1945,-19.9,1.13,,0.0,Winter,No Holiday,Yes,1582977,1,12
56,15/03/2018,8,14.1,97.0,1.1,342,13.6,0.0,0.0,0.0,Spring,No Holiday,Yes,618235,0,3
57,7/4/2018,13,7.4,22.0,4.5,1964,-12.9,,0.0,0.0,Spring,No Holiday,Yes,4559277,1,4
58,16/09/2018,19,21.2,87.0,2.7,479,18.9,0.01,0.0,0.0,Autumn,No Holiday,Yes,4282947,1,9
59,22/02/2018,5,-2.4,59.0,1.1,1984,-9.3,0.0,0.0,0.0,Winter,No Holiday,Yes,507675,0,2
60,28/01/2018,19,-6.0,31.0,3.6,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,1091396,0,1
61,8/5/2018,14,22.2,42.0,1.7,2000,8.6,2.29,0.0,0.0,Spring,No Holiday,Yes,6213729,2,5
62,6/5/2018,14,17.2,85.0,1.3,2000,14.6,0.94,0.0,0.0,Spring,No Holiday,Yes,2867063,1,5
63,29/06/2018,14,27.8,57.0,2.1,760,18.4,,0.0,0.0,Summer,No Holiday,Yes,6912707,2,6
64,24/03/2018,23,6.4,85.0,2.3,155,4.0,0.0,0.0,0.0,Spring,No Holiday,Yes,2047103,1,3
65,22/03/2018,22,3.9,66.0,2.7,990,-1.8,0.0,0.0,0.0,Spring,No Holiday,Yes,3641409,1,3
66,9/8/2018,21,27.8,82.0,0.3,1397,24.4,0.0,0.0,0.0,Summer,No Holiday,Yes,9019729,2,8
67,25/04/2018,15,22.8,21.0,2.1,1542,-0.6,2.75,0.0,0.0,Spring,No Holiday,Yes,6571137,2,4
68,29/12/2017,20,1.7,73.0,0.5,332,-2.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2042615,1,12
69,21/10/2018,11,16.8,38.0,1.5,1326,2.3,2.07,0.0,0.0,Autumn,No Holiday,Yes,5599347,1,10
71,28/01/2018,11,-4.6,27.0,2.6,1887,-20.8,0.85,0.0,0.0,Winter,No Holiday,Yes,921310,0,1
73,30/12/2017,13,4.0,62.0,1.0,256,-2.6,0.51,0.0,0.0,Winter,No Holiday,Yes,1780392,1,12
74,31/05/2018,22,21.1,59.0,,1874,12.7,0.0,0.0,0.0,Spring,No Holiday,Yes,10912758,2,5
75,5/9/2018,2,20.6,72.0,0.9,2000,15.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,3577999,1,9
77,25/08/2018,16,27.2,58.0,3.7,1987,18.2,0.99,0.0,0.0,Summer,No Holiday,Yes,8333957,2,8
78,3/4/2018,10,18.9,66.0,2.0,1298,12.4,0.85,0.0,0.0,Spring,No Holiday,Yes,4128106,1,4
79,11/6/2018,23,18.2,93.0,0.8,460,17.0,0.0,3.5,0.0,Summer,No Holiday,Yes,2335810,1,6
80,20/11/2018,14,12.3,16.0,2.5,1797,-12.8,1.69,0.0,0.0,Autumn,No Holiday,Yes,4390793,1,11
81,7/4/2018,12,6.0,23.0,4.2,1990,-13.6,2.0,0.0,0.0,Spring,No Holiday,Yes,3956197,1,4
82,1/9/2018,15,30.0,45.0,0.9,2000,16.7,2.1,0.0,0.0,Autumn,No Holiday,Yes,7461781,2,9
83,5/3/2018,0,7.6,88.0,2.5,1974,5.7,0.0,9.0,0.0,Spring,No Holiday,Yes,445168,0,3
85,29/12/2017,5,0.7,66.0,0.7,687,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,499193,0,12
86,18/04/2018,7,6.4,51.0,1.0,1398,-3.0,0.19,0.0,0.0,Spring,No Holiday,Yes,5813417,1,4
87,4/6/2018,23,21.4,68.0,2.7,972,15.2,0.0,0.0,0.0,Summer,No Holiday,Yes,8070712,2,6
88,31/08/2018,11,26.7,51.0,2.7,1925,15.7,2.65,,0.0,Summer,No Holiday,Yes,4756884,1,8
89,6/4/2018,11,8.3,69.0,4.1,1217,2.9,1.81,0.0,0.0,Spring,No Holiday,Yes,3081667,1,4
90,7/7/2018,19,26.1,51.0,1.4,2000,15.1,0.32,0.0,0.0,Summer,No Holiday,Yes,12029910,2,7
91,8/5/2018,11,21.0,45.0,1.6,2000,8.6,2.89,0.0,0.0,Spring,No Holiday,Yes,4737016,1,5
92,23/11/2018,8,,43.0,1.1,2000,-13.8,0.03,,0.0,Autumn,No Holiday,Yes,8640944,2,11
93,8/1/2018,10,1.3,43.0,0.8,971,-9.9,,0.0,0.0,Winter,No Holiday,Yes,1801369,1,1
94,2/9/2018,4,21.1,62.0,1.8,2000,13.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,1775382,1,9
95,14/07/2018,9,27.0,70.0,1.1,1393,21.0,1.15,0.0,0.0,Summer,No Holiday,Yes,5579197,1,7
96,4/3/2018,8,,,,309,-22.8,1.07,0.0,0.0,Spring,No Holiday,No,905594,0,3
97,7/10/2018,9,16.2,60.0,1.9,1899,8.4,1.16,0.0,0.0,Autumn,No Holiday,Yes,4320444,1,10
98,16/03/2018,16,11.6,31.0,1.4,1999,-4.9,2.11,0.0,0.0,Spring,No Holiday,Yes,5961671,1,3
99,5/5/2018,4,12.1,51.0,1.6,1939,2.2,,,0.0,Spring,No Holiday,Yes,1404940,1,5
100,4/5/2018,15,19.9,26.0,3.8,1898,-0.1,3.0,0.0,0.0,Spring,No Holiday,Yes,7919415,2,5
102,12/1/2018,0,-13.6,49.0,,2000,-22.0,0.0,0.0,0.0,Winter,No Holiday,Yes,1138499,0,1
103,6/4/2018,19,4.8,48.0,,1126,-5.3,0.17,0.0,0.0,Spring,No Holiday,Yes,3972708,1,4
104,18/11/2018,5,2.3,53.0,0.6,1763,-6.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,764943,0,11
105,25/08/2018,14,29.2,52.0,3.1,1735,18.3,2.68,0.0,0.0,Summer,No Holiday,Yes,6625122,2,8
106,11/8/2018,12,33.2,50.0,2.3,2000,21.3,2.84,0.0,0.0,Summer,No Holiday,Yes,4626890,1,8
107,14/03/2018,8,14.2,67.0,0.9,1812,8.1,,0.0,0.0,Spring,No Holiday,Yes,6996908,2,3
108,25/09/2018,11,20.1,40.0,1.6,1985,6.0,2.47,0.0,0.0,Autumn,Holiday,Yes,4487922,1,9
110,16/03/2018,22,4.9,46.0,0.8,2000,-5.7,0.0,,0.0,Spring,No Holiday,Yes,4274306,1,3
111,4/5/2018,8,11.3,46.0,1.2,1788,0.0,1.04,0.0,0.0,Spring,No Holiday,Yes,10861419,2,5
112,9/1/2018,13,-2.6,45.0,4.0,1663,-12.9,1.11,0.0,0.3,Winter,No Holiday,Yes,2113635,1,1
114,5/8/2018,11,,63.0,2.6,1695,23.3,1.99,0.0,0.0,Summer,No Holiday,Yes,2750605,1,8
115,8/2/2018,6,-9.3,61.0,0.7,1684,-15.4,,0.0,0.0,Winter,No Holiday,Yes,1341090,0,2
116,29/10/2018,15,11.0,46.0,3.4,2000,-0.1,0.57,0.0,0.0,Autumn,No Holiday,Yes,5255710,1,10
117,1/9/2018,20,26.9,49.0,2.1,2000,15.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,7931230,2,9
118,22/12/2017,14,5.9,55.0,0.6,779,-2.4,0.48,,0.0,Winter,Holiday,Yes,2026507,1,12
119,1/7/2018,16,22.2,97.0,1.1,1745,21.6,0.25,1.0,0.0,Summer,No Holiday,Yes,1103746,0,7
120,22/08/2018,8,25.7,66.0,0.9,1976,18.8,0.64,0.0,0.0,Summer,No Holiday,Yes,10674184,2,8
121,20/02/2018,6,-2.1,82.0,1.8,381,-4.7,0.0,0.0,0.0,Winter,No Holiday,Yes,1747088,0,2
122,21/02/2018,18,1.8,16.0,3.4,2000,-21.4,0.31,0.0,0.0,Winter,No Holiday,Yes,4704406,1,2
123,12/10/2018,13,15.8,36.0,1.5,1888,0.7,,0.0,0.0,Autumn,No Holiday,Yes,6219977,2,10
124,6/3/2018,14,9.2,27.0,2.9,1880,-8.8,2.32,0.0,0.0,Spring,No Holiday,Yes,3214032,1,3
125,21/07/2018,7,25.3,71.0,,1226,19.6,0.34,0.0,0.0,Summer,No Holiday,Yes,3260430,1,7
126,20/12/2017,15,-0.2,45.0,1.0,1852,-10.7,0.41,,1.6,Winter,No Holiday,Yes,2045881,1,12
127,15/10/2018,9,12.8,74.0,0.5,831,8.2,0.31,0.0,0.0,Autumn,No Holiday,Yes,5954303,2,10
128,25/03/2018,7,4.7,82.0,1.3,198,1.8,,0.0,0.0,Spring,No Holiday,Yes,1113642,0,3
129,11/5/2018,19,17.1,51.0,2.5,1223,6.8,,0.0,0.0,Spring,No Holiday,Yes,10540717,2,5
130,8/10/2018,17,20.0,28.0,0.7,2000,0.9,0.79,0.0,0.0,Autumn,No Holiday,Yes,11385703,2,10
131,14/11/2018,16,15.2,40.0,2.7,1371,1.6,0.87,0.0,0.0,Autumn,No Holiday,Yes,6211807,2,11
132,16/01/2018,22,4.0,57.0,0.3,430,-3.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2629843,1,1
133,30/09/2018,6,15.5,80.0,0.4,2000,12.0,,0.0,0.0,Autumn,No Holiday,No,290847,0,9
134,27/08/2018,11,22.0,96.0,1.6,602,21.3,0.36,0.5,0.0,Summer,No Holiday,Yes,890222,0,8
135,3/1/2018,9,-6.8,44.0,1.7,1858,-17.0,0.16,,0.0,Winter,No Holiday,Yes,2795082,1,1
137,23/05/2018,4,15.0,97.0,1.4,1827,14.5,0.0,0.0,0.0,Spring,No Holiday,Yes,889894,0,5
138,7/4/2018,6,1.7,58.0,3.8,1189,-5.6,0.0,0.0,0.0,Spring,No Holiday,Yes,958580,0,4
139,17/01/2018,3,3.0,67.0,0.8,297,-2.5,0.0,0.0,0.0,Winter,No Holiday,Yes,643933,0,1
140,1/5/2018,17,22.0,65.0,2.4,589,15.1,0.47,0.0,0.0,Spring,Holiday,Yes,9588337,2,5
141,2/9/2018,9,23.4,52.0,1.3,1997,12.9,1.53,0.0,0.0,Autumn,No Holiday,Yes,4103633,1,9
142,26/08/2018,8,22.1,74.0,1.0,1479,17.2,0.77,0.0,0.0,Summer,No Holiday,Yes,3094073,1,8
143,8/8/2018,20,31.0,66.0,2.9,1857,23.8,,0.0,0.0,Summer,No Holiday,Yes,9226495,2,8
144,23/04/2018,22,9.6,90.0,1.9,2000,8.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1456531,0,4
145,19/02/2018,22,1.0,69.0,0.7,525,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2709311,1,2
146,12/5/2018,20,15.7,97.0,0.3,343,15.2,0.0,1.0,0.0,Spring,No Holiday,Yes,745769,0,5
149,7/8/2018,3,27.6,69.0,0.9,2000,21.3,0.0,0.0,0.0,Summer,No Holiday,Yes,2204022,1,8
150,3/5/2018,16,12.8,53.0,3.3,2000,3.4,0.76,0.0,0.0,Spring,No Holiday,Yes,5660534,1,5
151,27/01/2018,23,-7.6,42.0,1.2,1760,-18.3,0.0,0.0,0.0,Winter,No Holiday,Yes,584150,0,1
152,8/12/2017,19,-3.3,35.0,1.1,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,3175065,1,12
153,8/7/2018,23,24.6,60.0,2.6,2000,16.3,0.0,0.0,0.0,Summer,No Holiday,Yes,6810416,2,7
155,3/8/2018,7,30.8,58.0,1.6,1777,21.5,0.22,,0.0,Summer,No Holiday,Yes,5327298,1,8
156,27/01/2018,1,-15.1,43.0,0.8,1905,-24.9,0.0,0.0,0.3,Winter,No Holiday,Yes,1208897,0,1
157,27/11/2018,22,6.6,33.0,2.1,722,-8.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,3718328,1,11
158,15/10/2018,18,18.0,66.0,2.3,554,11.5,0.1,0.0,0.0,Autumn,No Holiday,Yes,14041500,2,10
160,21/03/2018,17,2.5,78.0,2.0,2000,-0.9,0.25,0.0,0.0,Spring,No Holiday,Yes,1707922,1,3
161,24/11/2018,9,0.3,97.0,3.0,34,-0.1,0.0,9.1,7.1,Autumn,No Holiday,Yes,957919,0,11
162,19/08/2018,1,25.0,57.0,0.9,2000,15.8,0.0,0.0,0.0,Summer,No Holiday,Yes,5096991,1,8
163,22/08/2018,11,32.1,49.0,1.6,1874,20.0,2.63,0.0,0.0,Summer,No Holiday,Yes,4189258,1,8
164,15/05/2018,4,16.1,74.0,0.8,440,11.4,0.0,0.0,0.0,Spring,No Holiday,Yes,1103006,0,5
165,19/08/2018,3,24.0,59.0,0.6,2000,15.4,0.0,0.0,0.0,Summer,No Holiday,Yes,2919110,1,8
166,25/09/2018,18,21.6,37.0,1.0,2000,6.2,0.24,,0.0,Autumn,Holiday,Yes,9947543,2,9
167,4/10/2018,19,22.3,50.0,1.4,2000,11.3,0.0,0.0,0.0,Autumn,No Holiday,No,236931,0,10
168,22/01/2018,1,-0.2,32.0,0.7,2000,-14.9,0.0,0.0,0.0,Winter,No Holiday,Yes,1268767,0,1
170,26/02/2018,15,10.3,23.0,2.1,1317,-9.9,2.09,0.0,0.0,Winter,No Holiday,Yes,3636924,1,2
171,13/04/2018,14,18.7,14.0,1.6,2000,-9.3,1.25,0.0,0.0,Spring,No Holiday,Yes,5763076,1,4
172,15/02/2018,10,-1.6,26.0,1.9,1980,-18.6,1.29,0.0,0.0,Winter,Holiday,Yes,1418641,0,2
173,9/11/2018,6,11.0,70.0,3.1,900,5.7,0.0,0.0,0.0,Autumn,No Holiday,No,419213,0,11
174,28/03/2018,10,14.7,62.0,2.9,684,7.4,1.59,0.0,0.0,Spring,No Holiday,Yes,2718858,1,3
175,1/6/2018,6,17.5,76.0,1.2,1161,13.2,0.05,0.0,0.0,Summer,No Holiday,Yes,3890364,1,6
176,3/11/2018,4,6.3,72.0,1.0,1104,1.6,0.0,0.0,0.0,Autumn,No Holiday,No,589094,0,11
177,5/5/2018,18,,31.0,3.4,1953,4.5,0.79,0.0,0.0,Spring,No Holiday,Yes,10452752,2,5
178,30/07/2018,7,26.8,59.0,1.1,2000,18.1,0.28,,0.0,Summer,No Holiday,Yes,6006921,2,7
179,27/06/2018,23,22.3,83.0,2.6,490,19.2,0.0,0.0,0.0,Summer,No Holiday,Yes,5957580,2,6
180,25/09/2018,12,21.7,36.0,2.0,2000,5.9,2.78,0.0,0.0,Autumn,Holiday,Yes,6271903,1,9
181,18/01/2018,16,3.6,42.0,2.4,883,-8.1,0.29,0.0,0.0,Winter,No Holiday,Yes,1739617,1,1
182,22/09/2018,9,,78.0,1.3,740,15.7,,0.0,0.0,Autumn,No Holiday,Yes,4870041,1,9
183,20/01/2018,3,-0.9,65.0,0.2,1359,-6.6,0.0,0.0,0.0,Winter,No Holiday,Yes,940901,0,1
184,9/5/2018,23,,62.0,1.4,2000,7.9,0.0,0.0,0.0,Spring,No Holiday,Yes,5884725,2,5
185,27/04/2018,3,10.7,63.0,1.1,989,3.9,0.0,0.0,0.0,Spring,No Holiday,Yes,2076340,1,4
186,29/09/2018,2,15.8,71.0,1.1,2000,10.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,4126980,1,9
187,21/02/2018,22,-2.2,55.0,1.4,2000,-10.0,0.0,0.0,0.0,Winter,No Holiday,Yes,1838726,1,2
188,9/1/2018,1,-1.9,69.0,5.0,791,-6.8,0.0,0.0,1.0,Winter,No Holiday,Yes,973439,0,1
190,17/12/2017,13,-4.5,25.0,3.2,1989,-21.6,1.14,0.0,0.0,Winter,No Holiday,Yes,1439298,1,12
191,23/01/2018,12,-11.3,27.0,3.7,1955,-26.6,1.18,0.0,1.0,Winter,No Holiday,Yes,1584464,1,1
192,9/2/2018,18,4.1,40.0,2.1,1327,-8.3,0.1,0.0,0.0,Winter,No Holiday,Yes,3639532,1,2
193,5/1/2018,19,-2.5,49.0,0.6,1436,-11.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2547835,1,1
194,2/7/2018,3,21.1,96.0,2.4,866,20.4,0.0,4.5,0.0,Summer,No Holiday,Yes,411133,0,7
195,17/05/2018,0,22.0,97.0,1.6,152,21.4,0.0,0.5,0.0,Spring,No Holiday,Yes,1602631,0,5
196,15/11/2018,21,9.6,52.0,1.3,906,0.2,,0.0,0.0,Autumn,No Holiday,Yes,6407399,2,11
197,27/12/2017,22,-6.4,36.0,1.3,2000,-19.0,0.0,0.0,0.0,Winter,No Holiday,Yes,1411605,1,12
198,3/8/2018,5,30.5,72.0,0.5,1084,24.8,0.0,0.0,0.0,Summer,No Holiday,Yes,1935285,1,8
199,8/7/2018,0,20.7,51.0,1.7,2000,10.1,0.0,0.0,0.0,Summer,No Holiday,Yes,6187432,2,7
200,4/11/2018,22,11.2,67.0,1.3,940,5.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,5151890,1,11
201,25/08/2018,5,23.3,79.0,,1592,19.4,0.0,0.0,0.0,Summer,No Holiday,Yes,1625786,1,8
202,9/5/2018,16,21.4,35.0,2.7,1838,5.2,2.38,0.0,0.0,Spring,No Holiday,Yes,8532611,2,5
203,6/5/2018,9,15.4,97.0,0.8,413,14.9,0.18,1.0,0.0,Spring,No Holiday,Yes,970996,0,5
204,26/03/2018,10,10.0,70.0,,187,4.7,1.57,0.0,0.0,Spring,No Holiday,Yes,2354985,1,3
205,6/1/2018,21,-2.5,47.0,0.8,1495,-12.2,,0.0,0.0,Winter,No Holiday,Yes,1191872,1,1
206,19/03/2018,23,6.9,44.0,3.3,2000,-4.5,0.0,0.0,0.0,Spring,No Holiday,Yes,1983770,1,3
207,26/07/2018,13,32.4,54.0,0.7,896,21.8,1.41,,0.0,Summer,No Holiday,Yes,3336515,1,7
208,28/11/2018,16,9.6,17.0,3.0,1706,-14.3,0.77,0.0,0.0,Autumn,No Holiday,Yes,4581740,1,11
209,28/05/2018,15,28.4,43.0,3.1,900,14.6,2.28,0.0,0.0,Spring,No Holiday,Yes,7303846,2,5
210,27/01/2018,21,-7.9,35.0,2.6,1878,-20.7,0.0,,0.0,Winter,No Holiday,Yes,1480721,0,1
211,3/2/2018,18,-6.6,36.0,4.4,2000,-19.2,0.15,0.0,0.0,Winter,No Holiday,Yes,1371644,0,2
212,24/06/2018,22,23.9,72.0,0.8,1098,18.5,0.0,0.0,0.0,Summer,No Holiday,Yes,10036655,2,6
213,8/4/2018,21,2.8,88.0,2.1,592,1.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1791408,0,4
214,21/04/2018,17,23.2,12.0,3.6,2000,-7.8,1.69,0.0,0.0,Spring,No Holiday,Yes,11166799,2,4
215,19/02/2018,8,-1.2,51.0,0.8,1800,-10.0,0.05,0.0,0.0,Winter,No Holiday,Yes,4439422,1,2
216,10/4/2018,3,,48.0,0.8,1455,-2.2,0.0,0.0,0.0,Spring,No Holiday,Yes,1596669,0,4
217,26/04/2018,4,10.7,70.0,0.7,1404,5.4,0.0,0.0,0.0,Spring,No Holiday,Yes,1609629,0,4
218,5/2/2018,3,-11.3,54.0,0.6,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,410847,0,2
219,18/07/2018,18,32.0,50.0,2.6,1374,20.2,1.25,0.0,0.0,Summer,No Holiday,Yes,14125714,2,7
220,10/9/2018,7,18.9,63.0,1.8,2000,11.6,0.09,0.0,0.0,Autumn,No Holiday,Yes,8120818,2,9
221,7/7/2018,13,27.5,43.0,2.0,2000,13.7,3.41,0.0,0.0,Summer,No Holiday,Yes,8089513,2,7
222,28/09/2018,21,17.8,66.0,1.1,2000,11.3,0.0,0.0,0.0,Autumn,No Holiday,No,561735,0,9
223,20/05/2018,9,16.0,34.0,1.3,2000,0.1,1.0,0.0,0.0,Spring,No Holiday,Yes,3969255,1,5
224,7/3/2018,10,5.2,52.0,1.5,1808,-3.8,0.74,0.0,0.0,Spring,No Holiday,Yes,2381781,1,3
225,29/10/2018,14,11.3,39.0,,2000,-2.1,,0.0,0.0,Autumn,No Holiday,Yes,5022857,1,10
226,15/06/2018,4,18.0,93.0,1.6,627,16.8,0.0,10.5,0.0,Summer,No Holiday,Yes,1204605,0,6
227,25/09/2018,8,12.0,61.0,1.3,1988,4.6,0.6,0.0,0.0,Autumn,Holiday,Yes,2939872,1,9
228,10/7/2018,5,20.6,97.0,0.6,2000,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,982817,0,7
229,22/04/2018,6,14.6,42.0,0.5,2000,1.8,0.0,0.0,0.0,Spring,No Holiday,Yes,1202599,0,4
230,4/12/2017,16,-0.2,23.0,4.7,2000,-18.8,0.55,0.0,0.0,Winter,No Holiday,Yes,2182729,1,12
231,10/11/2018,8,,85.0,0.3,313,6.9,0.07,0.0,0.0,Autumn,No Holiday,Yes,3562536,1,11
232,29/06/2018,11,24.8,74.0,1.8,644,19.8,,0.0,0.0,Summer,No Holiday,Yes,4885667,1,6
233,19/02/2018,19,3.6,55.0,1.6,728,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,3080873,1,2
234,3/8/2018,3,31.2,68.0,1.4,968,24.5,0.0,,0.0,Summer,No Holiday,Yes,1733804,1,8
236,20/08/2018,4,26.2,65.0,1.1,1542,19.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1465424,0,8
